"Date","Chrome","IE","Safari","Firefox","Android","Edge Legacy","Edge","Opera","Samsung Internet","BlackBerry","360 Safe Browser","Silk","UC Browser","IEMobile","Sony PS3","Mozilla","Nokia","AOL","Maxthon","Chromium","Sony PS4","NetFront","Puffin","Phantom","SeaMonkey","QQ Browser","Sony PSP","Unknown","Pale Moon","Openwave","Kindle","Yandex Browser","Nintendo 3DS","Coc Coc","TheWorld","Tencent Traveler","Other"
2014-01,29.19,22.18,24.98,12.54,6.52,0,0,0.63,0,0.67,1.16,0.7,0.22,0.32,0.12,0.04,0.04,0,0.13,0.05,0.01,0.04,0.03,0.02,0.02,0.05,0.01,0.04,0.02,0.01,0.06,0.01,0.02,0,0.04,0.04,0.1
2014-02,30.36,21.48,25.05,12.68,6.41,0,0,0.59,0,0.55,0.76,0.67,0.27,0.35,0.12,0.03,0.03,0,0.1,0.06,0.02,0.04,0.03,0.03,0.02,0.04,0.01,0.01,0.02,0.01,0.06,0.01,0.01,0,0.03,0.03,0.14
2014-03,29.2,23.03,24.46,11.61,6,0,0,0.64,0,0.36,2.25,0.59,0.42,0.35,0.11,0.03,0.03,0,0.21,0.07,0.02,0.03,0.03,0.04,0.02,0.09,0.01,0.01,0.01,0.01,0.06,0.01,0.01,0,0.08,0.08,0.13
2014-04,31.33,22.37,23.45,12.5,5.31,0,0,0.64,0,0.3,1.74,0.57,0.43,0.36,0.1,0.03,0.02,0,0.17,0.09,0.02,0.02,0.03,0.03,0.02,0.07,0.01,0.01,0.02,0.01,0.05,0.01,0.01,0,0.06,0.06,0.12
2014-05,32.33,22.05,23.01,12.5,5.1,0,0,0.62,0,0.29,1.7,0.56,0.44,0.38,0.1,0.03,0.04,0,0.16,0.11,0.02,0.03,0.03,0.04,0.02,0.07,0.01,0.01,0.02,0.01,0.05,0.01,0.01,0,0.06,0.06,0.14
2014-06,30.95,22.65,24.18,11.11,5.29,0,0,0.65,0,0.31,2.26,0.62,0.41,0.44,0.09,0.03,0.03,0,0.2,0.1,0.03,0.02,0.04,0.05,0.02,0.09,0.01,0.01,0.03,0.01,0.05,0.01,0.01,0,0.08,0.08,0.14
2014-07,30.56,24.81,23.61,10.91,4.66,0,0,0.7,0,0.29,1.96,0.62,0.4,0.42,0.08,0.03,0.03,0,0.18,0.11,0.03,0.02,0.03,0.06,0.02,0.08,0.01,0.01,0.03,0.01,0.05,0,0.01,0,0.07,0.07,0.14
2014-08,31.75,22.46,25.54,10.89,4.79,0,0,0.69,0,0.26,1.19,0.63,0.46,0.44,0.07,0.03,0.03,0,0.13,0.11,0.03,0.02,0.04,0.03,0.02,0.06,0.01,0.01,0.03,0.01,0.05,0,0.01,0,0.04,0.04,0.13
2014-09,31.43,22.13,26.54,10.52,4.4,0,0,0.52,0,0.24,1.9,0.61,0.38,0.4,0.06,0.04,0.02,0,0.17,0.06,0.03,0.02,0.04,0.02,0.02,0.08,0,0.01,0.03,0.01,0.05,0,0.01,0,0.07,0.07,0.11
2014-10,33.43,20.44,27.3,10.4,4.21,0,0,0.42,0,0.22,1.56,0.54,0.25,0.39,0.07,0.05,0.02,0,0.14,0.04,0.03,0.01,0.04,0.03,0.02,0.07,0,0.01,0.02,0.01,0.05,0,0.01,0,0.06,0.06,0.12
2014-11,34.31,22.98,25.43,9.94,4.35,0,0,0.46,0,0.24,0.23,0.59,0.19,0.4,0.09,0.07,0.01,0,0.07,0.04,0.04,0.01,0.07,0.03,0.03,0.02,0,0.02,0.03,0.01,0.04,0.01,0.02,0.01,0.01,0.01,0.27
2014-12,31.42,30.03,22.99,9.12,3.8,0,0,0.39,0,0.2,0.24,0.57,0.19,0.38,0.06,0.06,0.01,0,0.06,0.04,0.04,0.01,0.05,0.03,0.02,0.02,0,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.18
2015-01,35.61,20.91,25.87,10.58,3.98,0,0,0.43,0,0.19,0.4,0.65,0.23,0.44,0.06,0.06,0.01,0,0.06,0.04,0.05,0.01,0.05,0.03,0.02,0.03,0,0.02,0.03,0.01,0.03,0.01,0.02,0.01,0.01,0.01,0.13
2015-02,35.81,20.05,26.2,10.49,3.95,0,0,0.52,0,0.17,0.78,0.61,0.22,0.43,0.05,0.05,0.02,0,0.09,0.04,0.05,0.01,0.04,0.04,0.02,0.04,0,0.02,0.03,0.01,0.02,0.01,0.01,0.01,0.03,0.03,0.13
2015-03,37.28,18.2,26.45,11.31,3.41,0,0,0.5,0,0.17,0.7,0.58,0.22,0.42,0.05,0.04,0.01,0,0.08,0.04,0.05,0.01,0.04,0.06,0.02,0.04,0,0.05,0.03,0,0.02,0.01,0.01,0,0.02,0.02,0.12
2015-04,38.22,19.13,23.92,12.41,2.81,0,0,0.47,0,0.13,0.98,0.54,0.21,0.41,0.05,0.04,0.02,0,0.1,0.04,0.04,0.01,0.04,0.04,0.02,0.05,0,0.03,0.03,0.01,0.02,0.02,0.01,0.01,0.03,0.03,0.12
2015-05,36.94,19.52,26.07,11.21,2.94,0,0,0.48,0,0.11,0.89,0.5,0.21,0.4,0.05,0.04,0.01,0,0.1,0.04,0.04,0.01,0.04,0.04,0.02,0.04,0,0.02,0.03,0,0.02,0.01,0.01,0,0.03,0.03,0.13
2015-06,37.53,19.94,25.62,10.97,2.86,0,0,0.56,0,0.08,0.53,0.54,0.21,0.4,0.04,0.04,0.01,0,0.08,0.04,0.05,0.01,0.04,0.05,0.03,0.03,0,0.03,0.03,0,0.02,0.02,0.01,0,0.02,0.02,0.18
2015-07,38.81,17.27,27.63,10.08,3.04,0.05,0,0.64,0,0.12,0.27,0.62,0.24,0.47,0.05,0.04,0.01,0,0.06,0.05,0.06,0.01,0.04,0.06,0.04,0.02,0,0.03,0.04,0.01,0.03,0.02,0.01,0,0.01,0.01,0.17
2015-08,40.47,15.7,27.02,10.19,2.75,0.77,0,0.63,0,0.1,0.25,0.6,0.29,0.46,0.05,0.04,0,0,0.06,0.07,0.07,0.01,0.05,0.03,0.03,0.03,0,0.03,0.03,0.01,0.02,0.02,0.01,0,0.01,0.01,0.2
2015-09,41.35,16.37,25.53,10.3,2.42,1.03,0,0.61,0,0.08,0.35,0.41,0.29,0.44,0.05,0.04,0,0,0.06,0.09,0.06,0.01,0.05,0.04,0.03,0.03,0,0.03,0.03,0.01,0.02,0.03,0.01,0,0.01,0.01,0.18
2015-10,40.8,17.53,24.97,10.09,2.44,1.18,0,0.71,0,0.09,0.35,0.24,0.31,0.45,0.04,0.04,0,0,0.06,0.07,0.06,0.01,0.05,0.09,0.05,0.02,0,0.03,0.03,0.01,0.02,0.03,0.01,0.01,0.01,0.01,0.17
2015-11,40.2,18.87,25.41,9.2,2.28,1.29,0,0.65,0,0.07,0.27,0.22,0.28,0.42,0.04,0.04,0,0,0.05,0.06,0.06,0.01,0.06,0.1,0.07,0.02,0,0.02,0.03,0.01,0.02,0.03,0.01,0.01,0.01,0.01,0.19
2015-12,40.04,17.19,27.04,8.66,2.13,1.57,0,1.14,0,0.1,0.37,0.17,0.26,0.44,0.03,0.03,0,0,0.06,0.05,0.06,0.01,0.05,0.08,0.06,0.02,0,0.02,0.03,0,0.02,0.05,0.01,0.03,0.01,0.01,0.24
2016-01,41.5,16.69,24.76,10.32,2.14,1.78,0,0.77,0,0.06,0.26,0.12,0.27,0.35,0.03,0.04,0,0,0.06,0.04,0.07,0.01,0.05,0.07,0.13,0.02,0,0.02,0.04,0,0.03,0.07,0.01,0.04,0.01,0.01,0.24
2016-02,42.43,15.44,25.43,9.36,2.2,1.99,0,0.8,0.54,0.07,0.21,0.09,0.29,0.34,0.03,0.04,0,0,0.06,0.06,0.1,0.01,0.05,0.09,0.04,0.02,0,0.02,0.03,0,0.02,0.08,0.01,0.03,0.01,0.01,0.13
2016-03,42.99,14.65,24.83,8.63,2.06,2.12,0,0.87,2.14,0.06,0.21,0.05,0.31,0.29,0.03,0.03,0,0,0.06,0.05,0.09,0,0.05,0.09,0.03,0.02,0,0.01,0.03,0,0.02,0.15,0.01,0.02,0.01,0.01,0.09
2016-04,43.79,14.06,24.75,8.65,1.93,2.23,0,0.71,2.18,0.06,0.25,0.04,0.33,0.28,0.03,0.03,0,0,0.05,0.05,0.1,0,0.05,0.1,0.04,0.02,0,0.02,0.03,0,0.02,0.07,0.01,0.03,0.01,0.01,0.09
2016-05,43.16,13.26,25.98,8.67,1.93,2.45,0,0.66,2.22,0.07,0.18,0.04,0.37,0.28,0.03,0.03,0,0,0.04,0.05,0.14,0,0.05,0.1,0.03,0.02,0,0.02,0.03,0,0.02,0.04,0.01,0.02,0.01,0.01,0.1
